Country,Temperature Jan (ºC),Temperature Feb (ºC),Temperature Mar (ºC),Temperature Apr (ºC)
United States,"-0.1","1.8","5.8","11.1"
New York,"-5.2","-4.2","0.7","7.3"
Italy,"5.7","6.5","8.6","11.7"
Lombardia,"0.8","3.1","6.8","10.7"
Spain,"9.4","10.3","12.0","13.4"
China,"-0.6","1.6","7.1","13.6"
Wuhan,"3.9","5.6","10.6","17.2"
Germany,"-0.4","0.2","3.5","7.3"
France,"27.8","27.8","27.8","32.4"
Iran,"20.5","24.0","32.5","42.2"
United Kingdom,"21.6","21.8","24.9","28.4"
Switzerland,"9.4","11.2","16.4","22.7"
Turkey,"18.3","20.3","25.9","34.7"
Belgium,"17.4","18.2","23.6","28.7"
Netherlands,"18.6","18.3","23.8","28.5"
Austria,"9.4","11.8","18.7","25.8"
South Korea,"12.3","15.5","24.0","35.1"
Canada,"-5.7","-2.3","6.8","19.6"
Portugal,"34.0","35.0","37.3","39.4"
Brazil,"60.3","60.1","59.5","58.5"
São Paulo,"55.8","56.3","55.3","51.9"
Israel,"34.5","35.7","40.1","46.8"
Norway,"7.1","7.6","12.4","18.8"
Australia,"55.6","55.3","52.2","46.6"
Sweden,"5.6","5.0","11.0","18.8"
Czech Republic,"9.6","11.6","18.1","25.7"
Ireland,"24.0","24.3","26.5","29.1"
Denmark,"15.3","14.7","18.1","24.4"
Malaysia,"60.8","61.3","62.2","62.9"
Chile,"44.2","43.9","41.1","37.2"
Russia,"-18.5","-15.6","-3.7","12.4"
Poland,"8.7","9.5","17.1","26.4"
Romania,"9.4","11.7","20.4","29.7"
Ecuador,"50.8","51.0","51.2","51.2"
Luxembourg,"14.3","16.5","22.0","27.6"
Philippines,"59.7","60.3","61.8","63.7"
Japan,"21.3","21.9","27.0","36.4"
Pakistan,"33.0","37.6","46.4","55.9"
Thailand,"58.2","61.3","64.7","67.3"
Saudi Arabia,"42.4","45.6","52.1","59.6"
Indonesia,"61.2","61.4","61.7","62.3"
Finland,"-1.4","-1.5","5.2","15.6"
India,"45.4","49.2","56.7","63.6"
South Africa,"53.5","52.8","50.5","45.3"
Greece,"30.1","31.0","34.6","40.7"
Panama,"60.4","61.1","62.1","62.6"
Iceland,"11.4","12.8","13.6","17.5"
Dominican Republic,"55.7","56.4","57.7","58.9"
Mexico,"43.3","45.4","49.2","53.2"
Peru,"45.4","46.0","45.8","44.4"
Argentina,"57.1","55.5","51.6","45.3"
Singapore,"61.2","61.9","63.2","63.4"
Colombia,"56.7","57.2","57.7","58.1"
Serbia,"13.1","15.2","23.4","32.5"
