Unnamed: 0,Country,Date,Confirmed,Deaths,day_since20,day_since50,confirmed_day,confirmed_grown,deaths_day,deaths_grown
49,New York,2020-03-10,25,0,0.0,,0.0,1.0,0.0,1.0
50,New York,2020-03-11,55,0,1.0,0.0,30.0,2.2,0.0,0.0
51,New York,2020-03-12,95,0,2.0,1.0,40.0,1.7273,0.0,0.0
52,New York,2020-03-13,154,0,3.0,2.0,59.0,1.6211,0.0,0.0
53,New York,2020-03-14,269,1,4.0,3.0,115.0,1.7468,1.0,0.0
54,New York,2020-03-15,269,1,5.0,4.0,0.0,1.0,0.0,1.0
55,New York,2020-03-16,463,7,6.0,5.0,194.0,1.7212,6.0,7.0
56,New York,2020-03-17,814,7,7.0,6.0,351.0,1.7581,0.0,1.0
57,New York,2020-03-18,1871,11,8.0,7.0,1057.0,2.2985,4.0,1.5714
58,New York,2020-03-19,3954,26,9.0,8.0,2083.0,2.1133,15.0,2.3636
59,New York,2020-03-20,5151,29,10.0,9.0,1197.0,1.3027,3.0,1.1154
60,New York,2020-03-21,7530,45,11.0,10.0,2379.0,1.4619,16.0,1.5517
61,New York,2020-03-22,9654,63,12.0,11.0,2124.0,1.2821,18.0,1.4
62,New York,2020-03-23,12305,99,13.0,12.0,2651.0,1.2746,36.0,1.5714
63,New York,2020-03-24,14904,131,14.0,13.0,2599.0,1.2112,32.0,1.3232
64,New York,2020-03-25,17856,199,15.0,14.0,2952.0,1.1981,68.0,1.5191
65,New York,2020-03-26,21873,281,16.0,15.0,4017.0,1.225,82.0,1.4121
66,New York,2020-03-27,25573,366,17.0,16.0,3700.0,1.1692,85.0,1.3025
67,New York,2020-03-28,29776,517,18.0,17.0,4203.0,1.1644,151.0,1.4126
68,New York,2020-03-29,33768,678,19.0,18.0,3992.0,1.1341,161.0,1.3114
69,New York,2020-03-30,37453,790,20.0,19.0,3685.0,1.1091,112.0,1.1652
90,São Paulo,2020-03-11,29,0,0.0,,0.0,1.0,0.0,1.0
89,São Paulo,2020-03-12,44,0,1.0,,15.0,1.5172,0.0,0.0
88,São Paulo,2020-03-13,44,0,2.0,,0.0,1.0,0.0,0.0
87,São Paulo,2020-03-14,62,0,3.0,0.0,18.0,1.4091,0.0,0.0
86,São Paulo,2020-03-15,62,0,4.0,1.0,0.0,1.0,0.0,0.0
85,São Paulo,2020-03-16,145,0,5.0,2.0,83.0,2.3387,0.0,0.0
84,São Paulo,2020-03-17,156,1,6.0,3.0,11.0,1.0759,1.0,0.0
83,São Paulo,2020-03-18,214,1,7.0,4.0,58.0,1.3718,0.0,1.0
82,São Paulo,2020-03-19,259,5,8.0,5.0,45.0,1.2103,4.0,5.0
81,São Paulo,2020-03-20,306,9,9.0,6.0,47.0,1.1815,4.0,1.8
80,São Paulo,2020-03-21,306,9,10.0,7.0,0.0,1.0,0.0,1.0
79,São Paulo,2020-03-22,306,9,11.0,8.0,0.0,1.0,0.0,1.0
78,São Paulo,2020-03-23,306,9,12.0,9.0,0.0,1.0,0.0,1.0
77,São Paulo,2020-03-24,306,36,13.0,10.0,0.0,1.0,27.0,4.0
76,São Paulo,2020-03-25,722,44,14.0,11.0,416.0,2.3595,8.0,1.2222
75,São Paulo,2020-03-26,899,53,15.0,12.0,177.0,1.2452,9.0,1.2045
74,São Paulo,2020-03-27,1044,62,16.0,13.0,145.0,1.1613,9.0,1.1698
73,São Paulo,2020-03-28,1044,62,17.0,14.0,0.0,1.0,0.0,1.0
72,São Paulo,2020-03-29,1044,62,18.0,15.0,0.0,1.0,0.0,1.0
71,São Paulo,2020-03-30,1233,103,19.0,16.0,189.0,1.181,41.0,1.6613
70,São Paulo,2020-03-31,1885,121,20.0,17.0,652.0,1.5288,18.0,1.1748
